J1 [rad],J2 [rad],J3 [rad],J4 [rad],J5 [rad],J6 [rad],,Electrical Power [W],,J1 [W], J2 [W],J3 [W],J4 [W],J5 [W],J6 [W]
-2.211384522,-0.172168179,0.747316999,3.04E-07,2.145952128,5.642597112,,232.167055,,19.64661777,191.9565377,20.36994565,0.101235335,0.092718599,0
-2.213252024,-0.174439725,0.750030113,3.04E-07,2.146388461,5.64072961,,216.4373549,,19.84881471,178.3476128,18.03757966,0.107640714,0.095707085,0
-2.214840274,-0.176405663,0.752385261,3.04E-07,2.146772433,5.63914136,,183.5126136,,14.6116559,153.1799425,15.54761807,0.10065032,0.07274688,0
-2.216219084,-0.178100378,0.754416824,3.04E-07,2.147121499,5.63776255,,160.3130772,,12.44394362,134.4337435,13.27187799,0.100705447,0.062806642,0
-2.217353548,-0.179524567,0.756127247,3.04E-07,2.147400752,5.636628086,,136.7575076,,10.28768994,115.3477482,10.96813622,0.100925531,0.053007686,0
-2.218278573,-0.180672994,0.757509547,3.04E-07,2.147627645,5.635703061,,114.7358255,,9.001441398,97.0884981,8.491757417,0.106628303,0.047500314,0
-2.218941798,-0.181502025,0.75850613,3.04E-07,2.147802178,5.635039836,,82.76889421,,4.962388179,71.59340872,6.090717311,0.095867208,0.026512799,0
-2.219395583,-0.182084965,0.759209498,3.04E-07,2.147924351,5.634586051,,60.41017072,,2.794572784,53.3221133,4.188594504,0.08976642,0.01512371,0
-2.219706834,-0.182483773,0.759690627,3.04E-07,2.148007254,5.6342748,,43.91454016,,1.428510885,39.64612865,2.748049573,0.083983535,0.007867512,0
-2.219900067,-0.182730238,0.759987894,3.04E-07,2.148057744,5.634081567,,32.22945938,,0.642159589,29.80207378,1.702923095,0.078679871,0.003623048,0
-2.2199998,-0.182856151,0.760139675,3.04E-07,2.148082677,5.633981834,,24.36540814,,0.240951724,23.06073898,0.988318542,0.073991488,0.001407409,0
-2.220030551,-0.182893302,0.760184347,3.04E-07,2.14808891,5.633951083,,19.42819588,,0.068622342,18.74860718,0.540508733,0.070034521,0.0004231,0
-2.220016838,-0.18287348,0.760160287,3.04E-07,2.1480833,5.633964796,,16.63574867,,0.01209941,16.25985181,0.296803233,0.066911978,8.22E-05,0
-2.219983178,-0.182828475,0.76010587,3.04E-07,2.148072704,5.633998456,,15.31950864,,0.000724353,15.05868099,0.195375092,0.064721988,6.22E-06,0
-2.219954089,-0.182790078,0.760059473,3.04E-07,2.148063977,5.634027545,,14.91055863,,9.59E-33,14.67194289,0.175048242,0.0635675,1.50E-12,0
-2.219954089,-0.182790078,0.760059473,3.04E-07,2.148063977,5.634027545,,14.91055863,,9.59E-33,14.67194289,0.175048242,0.0635675,1.50E-12,0
-2.219954089,-0.182790078,0.760059473,3.04E-07,2.148063977,5.634027545,,14.91055863,,9.59E-33,14.67194289,0.175048242,0.0635675,1.50E-12,0
-2.219954089,-0.182790078,0.760059473,3.04E-07,2.148063977,5.634027545,,14.91055863,,9.59E-33,14.67194289,0.175048242,0.0635675,1.50E-12,0
-2.219954089,-0.182790078,0.760059473,3.04E-07,2.148063977,5.634027545,,14.91055863,,9.59E-33,14.67194289,0.175048242,0.0635675,1.50E-12,0
-2.219954089,-0.182790078,0.760059473,3.04E-07,2.148063977,5.634027545,,14.91055863,,9.59E-33,14.67194289,0.175048242,0.0635675,1.50E-12,0
-2.219954089,-0.182790078,0.760059473,3.04E-07,2.148063977,5.634027545,,14.91055863,,9.59E-33,14.67194289,0.175048242,0.0635675,1.50E-12,0
-2.219954089,-0.182790078,0.760059473,3.04E-07,2.148063977,5.634027545,,14.91055863,,9.59E-33,14.67194289,0.175048242,0.0635675,1.50E-12,0
-2.219954089,-0.182790078,0.760059473,3.04E-07,2.148063977,5.634027545,,14.91055863,,9.59E-33,14.67194289,0.175048242,0.0635675,1.50E-12,0
-2.219954089,-0.182790078,0.760059473,3.04E-07,2.148063977,5.634027545,,14.91055863,,9.59E-33,14.67194289,0.175048242,0.0635675,1.50E-12,0
-2.219954089,-0.182790078,0.760059473,3.04E-07,2.148063977,5.634027545,,14.91055863,,9.59E-33,14.67194289,0.175048242,0.0635675,1.50E-12,0
